image_path,label_path
data/images/GUEST_3e3023d6-31c9-4a50-8d1e-a5a5719448ae.avif,data/labels/GUEST_3e3023d6-31c9-4a50-8d1e-a5a5719448ae.txt
data/images/IMG20260204064150.jpg,data/labels/IMG20260204064150.txt
data/images/z7499995309316_12f9b4e00860a6285af0b50b82b7ffcb.jpg,data/labels/z7499995309316_12f9b4e00860a6285af0b50b82b7ffcb.txt
data/images/IMG20260204074316.jpg,data/labels/IMG20260204074316.txt
data/images/IMG20260204064103.jpg,data/labels/IMG20260204064103.txt
data/images/IMG20260204064450.jpg,data/labels/IMG20260204064450.txt
data/images/Lemon - Stylized Artistic.jpg,data/labels/Lemon - Stylized Artistic.txt
data/images/3013.jpg,data/labels/3013.txt
data/images/Orange - Stylized Artistic (1).jpg,data/labels/Orange - Stylized Artistic (1).txt
data/images/IMG20260204074303.jpg,data/labels/IMG20260204074303.txt
data/images/IMG20260204064304.jpg,data/labels/IMG20260204064304.txt
data/images/IMG20260204064158.jpg,data/labels/IMG20260204064158.txt
data/images/IMG20260203165221.jpg,data/labels/IMG20260203165221.txt
data/images/IMG20260204074255.jpg,data/labels/IMG20260204074255.txt
data/images/IMG20260204064154.jpg,data/labels/IMG20260204064154.txt
data/images/IMG20260204074127.jpg,data/labels/IMG20260204074127.txt
data/images/5-loi-ich-suc-khoe-cua-trai-chanh-xanh.jpg,data/labels/5-loi-ich-suc-khoe-cua-trai-chanh-xanh.txt
data/images/IMG20260204064355.jpg,data/labels/IMG20260204064355.txt
data/images/IMG20260204074326.jpg,data/labels/IMG20260204074326.txt
data/images/IMG20260204074420.jpg,data/labels/IMG20260204074420.txt
data/images/IMG20260203195707.jpg,data/labels/IMG20260203195707.txt
data/images/IMG20260203165238.jpg,data/labels/IMG20260203165238.txt
data/images/download.jpg,data/labels/download.txt
data/images/overripe-spoiled-banana-white-surface-yellow-banana-isolated-white-background_314149-2450.avif,data/labels/overripe-spoiled-banana-white-surface-yellow-banana-isolated-white-background_314149-2450.txt
data/images/IMG20260203195659.jpg,data/labels/IMG20260203195659.txt
data/images/Fresh-Orange.webp,data/labels/Fresh-Orange.txt
data/images/istockphoto-184952247-612x612.jpg,data/labels/istockphoto-184952247-612x612.txt
data/images/IMG20260204074044.jpg,data/labels/IMG20260204074044.txt
data/images/IMG20260203165205.jpg,data/labels/IMG20260203165205.txt
data/images/z7499995034374_d6eced3a82855cde12861ed732283cef.jpg,data/labels/z7499995034374_d6eced3a82855cde12861ed732283cef.txt
data/images/20260203_175200.jpg,data/labels/20260203_175200.txt
data/images/IMG20260203165225.jpg,data/labels/IMG20260203165225.txt
data/images/IMG20260204064224.jpg,data/labels/IMG20260204064224.txt
data/images/darkened-overripe-bananas-isolated-on-a-white-background-blackened-banana-peel-spoiled-banana-photo.jpg,data/labels/darkened-overripe-bananas-isolated-on-a-white-background-blackened-banana-peel-spoiled-banana-photo.txt
data/images/49becd1c31a778fd22715f46a1515a6d.jpg,data/labels/49becd1c31a778fd22715f46a1515a6d.txt
data/images/chanh-ngon-trên-lòng-trắng.jpg,data/labels/chanh-ngon-trên-lòng-trắng.txt
data/images/z7499991724350_914ef42f3fac45994662b04f989d8abb.jpg,data/labels/z7499991724350_914ef42f3fac45994662b04f989d8abb.txt
data/images/z7499996592532_623f189be469a6b05915af5c49c2b72b.jpg,data/labels/z7499996592532_623f189be469a6b05915af5c49c2b72b.txt
data/images/IMG20260204074124.jpg,data/labels/IMG20260204074124.txt
data/images/IMG20260204074100.jpg,data/labels/IMG20260204074100.txt
data/images/IMG20260204074425.jpg,data/labels/IMG20260204074425.txt
data/images/IMG20260204074024.jpg,data/labels/IMG20260204074024.txt
data/images/IMG20260204074439.jpg,data/labels/IMG20260204074439.txt
data/images/IMG20260204074220.jpg,data/labels/IMG20260204074220.txt
data/images/z7499996548639_f215a540b066350e106abc1787485010.jpg,data/labels/z7499996548639_f215a540b066350e106abc1787485010.txt
data/images/IMG20260204074428.jpg,data/labels/IMG20260204074428.txt
data/images/download (1).jpg,data/labels/download (1).txt
data/images/IMG20260204064347.jpg,data/labels/IMG20260204064347.txt
data/images/IMG20260204074141.jpg,data/labels/IMG20260204074141.txt
data/images/IMG20260204074031.jpg,data/labels/IMG20260204074031.txt
data/images/z7499995034442_56d30d51456cec2995b6bc37b6f482b9.jpg,data/labels/z7499995034442_56d30d51456cec2995b6bc37b6f482b9.txt
data/images/IMG20260204074136.jpg,data/labels/IMG20260204074136.txt
data/images/IMG20260204074401.jpg,data/labels/IMG20260204074401.txt
data/images/IMG20260204064142.jpg,data/labels/IMG20260204064142.txt
data/images/z7499995125518_03d288e794d70c6cbf4e34f69a5925d4.jpg,data/labels/z7499995125518_03d288e794d70c6cbf4e34f69a5925d4.txt
data/images/IMG20260204074209.jpg,data/labels/IMG20260204074209.txt
data/images/IMG20260204074249.jpg,data/labels/IMG20260204074249.txt
data/images/orange-fruit-isolate-citrus-drops-260nw-1928237930.webp,data/labels/orange-fruit-isolate-citrus-drops-260nw-1928237930.txt
data/images/IMG20260204064216.jpg,data/labels/IMG20260204064216.txt
data/images/IMG20260204064122.jpg,data/labels/IMG20260204064122.txt
data/images/z7499991945279_cc315200b460742d03cb25ea342b9285.jpg,data/labels/z7499991945279_cc315200b460742d03cb25ea342b9285.txt
data/images/20260203_175045.jpg,data/labels/20260203_175045.txt
data/images/IMG20260204074108.jpg,data/labels/IMG20260204074108.txt
data/images/IMG20260203195542.jpg,data/labels/IMG20260203195542.txt
data/images/20260203_175118.jpg,data/labels/20260203_175118.txt
data/images/IMG20260203195636.jpg,data/labels/IMG20260203195636.txt
data/images/spoiled-bananas-photo2-m.webp,data/labels/spoiled-bananas-photo2-m.txt
data/images/cam-4_b1be682b1df24b098c3a086405b46e7e_596e3b20f1d04f7796e8e342bbe85aa5_master.jpg,data/labels/cam-4_b1be682b1df24b098c3a086405b46e7e_596e3b20f1d04f7796e8e342bbe85aa5_master.txt
data/images/z7499994765278_4650e81ded5f1f2fdbfbc7f7e6871bef.jpg,data/labels/z7499994765278_4650e81ded5f1f2fdbfbc7f7e6871bef.txt
data/images/IMG20260204074356.jpg,data/labels/IMG20260204074356.txt
data/images/a134f2a1-2bb0-4e5c-a594-f84b63ab5928.22241f295458186b2ba0e4ed7d460d52.webp,data/labels/a134f2a1-2bb0-4e5c-a594-f84b63ab5928.22241f295458186b2ba0e4ed7d460d52.txt
data/images/Lemon - Stylized Artistic (1).jpg,data/labels/Lemon - Stylized Artistic (1).txt
data/images/Фрукты азии.jpg,data/labels/Фрукты азии.txt
data/images/IMG20260203165330.jpg,data/labels/IMG20260203165330.txt
data/images/IMG20260204074216.jpg,data/labels/IMG20260204074216.txt
data/images/IMG20260204074329.jpg,data/labels/IMG20260204074329.txt
data/images/z7499994852551_de9dc0c4b29ae8c36fd35d6414c1fc03.jpg,data/labels/z7499994852551_de9dc0c4b29ae8c36fd35d6414c1fc03.txt
data/images/IMG20260203165209.jpg,data/labels/IMG20260203165209.txt
data/images/download (2).jpg,data/labels/download (2).txt
data/images/IMG20260204074107.jpg,data/labels/IMG20260204074107.txt
data/images/z7499991939219_30a550cd71781baa7cd17229faa734d0.jpg,data/labels/z7499991939219_30a550cd71781baa7cd17229faa734d0.txt
